CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC160277,01/10/2019 08:06:00 PM,012XX S HARDING AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1011,24,11,1150242,1894150,41.865452292,-87.723931552,"(41.865452292, -87.723931552)"
JC162358,01/08/2019 08:00:00 AM,005XX W 27TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,914,11,11,,,,,
JC102262,01/02/2019 06:29:00 PM,063XX S MORGAN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,723,16,08A,1170734,1862738,41.778830889,-87.649622352,"(41.778830889, -87.649622352)"
JC159918,01/03/2019 02:00:00 PM,114XX S MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,N,N,531,9,11,1178868,1828976,41.686002446,-87.620827261,"(41.686002446, -87.620827261)"
JC150795,01/04/2019 06:37:00 PM,005XX E 47TH ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,Y,N,223,3,22,1180542,1873970,41.809432891,-87.613320823,"(41.809432891, -87.613320823)"
JC162176,01/07/2019 04:00:00 PM,020XX W ERIE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1221,26,11,,,,,
JC159138,01/01/2019 12:01:00 AM,001XX W 66TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,722,20,26,1176366,1861223,41.774548831,-87.629020579,"(41.774548831, -87.629020579)"
JC160891,01/11/2019 11:00:00 AM,033XX N LINCOLN AVE,0810,THEFT,OVER $500,SMALL RETAIL STORE,N,N,1922,47,06,1164621,1922189,41.942101066,-87.670350087,"(41.942101066, -87.670350087)"
JC159780,01/12/2019 02:00:00 PM,117XX S CAMPBELL AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,2212,19,10,1161838,1826643,41.679969871,-87.683235324,"(41.679969871, -87.683235324)"
JC160804,01/05/2019 10:00:00 AM,050XX W HURON ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,1531,37,11,1142561,1904175,41.893108302,-87.751879825,"(41.893108302, -87.751879825)"
JC101421,01/01/2019 08:59:00 AM,006XX W CERMAK RD,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1235,25,05,1172512,1889672,41.852701418,-87.642310031,"(41.852701418, -87.642310031)"
JC160363,01/03/2019 09:00:00 AM,070XX S SOUTH SHORE DR,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,APARTMENT,N,N,331,5,11,1193443,1858795,41.767485391,-87.566499462,"(41.767485391, -87.566499462)"
JC160420,01/09/2019 03:00:00 PM,087XX S CALUMET AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,632,9,06,1180007,1847070,41.735628838,-87.616105907,"(41.735628838, -87.616105907)"
