CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC104074,01/04/2019 08:50:00 AM,068XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,832,17,08B,1160889,1859192,41.769309294,-87.685812919,"(41.769309294, -87.685812919)"
JC106747,01/05/2019 09:00:00 PM,073XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,732,6,08B,1173236,1856185,41.760793731,-87.640643331,"(41.760793731, -87.640643331)"
JC112916,01/11/2019 12:55:00 PM,004XX N HAMLIN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,Y,N,1122,27,18,1150980,1902612,41.888658546,-87.721000676,"(41.888658546, -87.721000676)"
JC104004,01/04/2019 05:48:00 AM,017XX N MAYFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2531,29,14,1136824,1910864,41.911568497,-87.772789486,"(41.911568497, -87.772789486)"
JC106112,01/05/2019 05:28:00 PM,008XX N MOZART ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,Y,N,1211,26,18,1157228,1905622,41.896793619,-87.697973753,"(41.896793619, -87.697973753)"
JC106645,01/06/2019 08:40:00 AM,078XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,Y,N,621,17,14,1172330,1852778,41.751464464,-87.644063902,"(41.751464464, -87.644063902)"
JC107967,01/07/2019 01:10:00 PM,048XX W ARMITAGE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2533,36,06,1143985,1912866,41.916930759,-87.746431558,"(41.916930759, -87.746431558)"
JC111581,01/01/2019 12:00:00 PM,013XX S BLUE ISLAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1232,25,11,1168803,1893810,41.864137536,-87.655803289,"(41.864137536, -87.655803289)"
JC108729,01/07/2019 11:30:00 AM,072XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,735,17,14,1165606,1856587,41.76206207,-87.668596317,"(41.76206207, -87.668596317)"
JC112399,01/11/2019 12:20:00 AM,012XX E 78TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,Y,N,411,8,24,1186032,1853534,41.753226811,-87.593829343,"(41.753226811, -87.593829343)"
JC106519,01/06/2019 02:53:00 AM,088XX S DANTE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,412,8,08B,1187330,1846630,41.734250836,-87.589291492,"(41.734250836, -87.589291492)"
JC108488,01/07/2019 06:45:00 PM,133XX S COMMERCIAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,433,10,26,1198107,1817178,41.653169208,-87.550790572,"(41.653169208, -87.550790572)"
JC113424,01/11/2019 01:48:00 PM,066XX S RHODES AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,321,20,26,1181043,1861099,41.774102175,-87.611879427,"(41.774102175, -87.611879427)"
JC109501,01/08/2019 03:45:00 PM,067XX S MICHIGAN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,"SCHOOL, PUBLIC, GROUNDS",N,N,322,6,26,1178325,1860320,41.772026655,-87.621866642,"(41.772026655, -87.621866642)"
JC106177,01/05/2019 07:24:00 PM,031XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1222,28,18,1155376,1899848,41.880986642,-87.704931179,"(41.880986642, -87.704931179)"
JC110897,01/09/2019 06:15:00 PM,056XX N SPAULDING AVE,0460,BATTERY,SIMPLE,STREET,N,N,1711,39,08B,1153355,1937490,41.984319626,-87.711349456,"(41.984319626, -87.711349456)"
JC100133,01/01/2019 02:00:00 AM,030XX W HARRISON ST,0460,BATTERY,SIMPLE,STREET,N,N,1134,28,08B,1156227,1897212,41.873736052,-87.701877566,"(41.873736052, -87.701877566)"
JC108285,01/07/2019 03:30:00 AM,011XX E 81ST PL,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,411,8,05,1185258,1851186,41.746801884,-87.596739386,"(41.746801884, -87.596739386)"
JC110708,01/09/2019 12:30:00 PM,045XX W BELMONT AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",N,N,1731,30,08B,1145319,1920882,41.938902278,-87.741327058,"(41.938902278, -87.741327058)"
JC114740,01/11/2019 06:00:00 PM,079XX S ESSEX AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,N,N,422,7,05,1194235,1852791,41.750990548,-87.563793363,"(41.750990548, -87.563793363)"
JC106441,01/06/2019 12:25:00 AM,102XX S EWING AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,STREET,Y,N,432,10,08B,1202155,1837673,41.709307635,-87.535284945,"(41.709307635, -87.535284945)"
JC106435,01/06/2019 12:22:00 AM,009XX W 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,733,6,15,1171449,1857762,41.765160516,-87.647146658,"(41.765160516, -87.647146658)"
JC105235,01/05/2019 01:44:00 AM,023XX S CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1013,22,08B,1152736,1888297,41.849342031,-87.714930665,"(41.849342031, -87.714930665)"
JC107695,01/06/2019 06:09:00 PM,015XX W 47TH ST,0820,THEFT,$500 AND UNDER,OTHER,N,N,924,15,06,1167044,1873569,41.808632154,-87.662840497,"(41.808632154, -87.662840497)"
JC110714,01/09/2019 04:36:00 PM,052XX S HOYNE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,932,16,03,1163255,1869616,41.797864916,-87.676848492,"(41.797864916, -87.676848492)"
JC105931,01/05/2019 03:26:00 PM,083XX S HOLLAND RD,0810,THEFT,OVER $500,ATHLETIC CLUB,N,N,622,21,06,1175643,1849595,41.742656445,-87.632018466,"(41.742656445, -87.632018466)"
JC105814,01/05/2019 03:30:00 AM,124XX S HALSTED ST,0820,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,523,34,06,1173253,1822356,41.667961689,-87.641577151,"(41.667961689, -87.641577151)"
JC110481,01/08/2019 01:45:00 PM,023XX W MC LEAN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,1432,32,05,1160457,1913506,41.918361694,-87.685895586,"(41.918361694, -87.685895586)"
JC112786,01/11/2019 11:05:00 AM,002XX W 87TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,622,21,06,1176467,1847230,41.736148121,-87.629070243,"(41.736148121, -87.629070243)"
JC109924,01/08/2019 10:06:00 PM,022XX S KEELER AVE,2027,NARCOTICS,POSS: CRACK,VEHICLE NON-COMMERCIAL,Y,N,1013,22,18,1148742,1888834,41.850893618,-87.729575393,"(41.850893618, -87.729575393)"
JC106825,01/06/2019 01:00:00 PM,023XX W GEORGE ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1432,32,06,1160057,1919130,41.933802615,-87.687209515,"(41.933802615, -87.687209515)"
JC106064,01/05/2019 06:05:00 PM,078XX S WOOD ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,N,N,611,17,26,1165712,1852655,41.751269864,-87.668319213,"(41.751269864, -87.668319213)"
JC113353,01/10/2019 03:30:00 PM,011XX E 46TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,N,N,222,4,26,1184584,1874737,41.811443713,-87.598471599,"(41.811443713, -87.598471599)"
JC108983,01/08/2019 08:00:00 AM,035XX W SUNNYSIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1723,35,14,1152059,1929680,41.962914232,-87.716322879,"(41.962914232, -87.716322879)"
JC110164,01/08/2019 08:30:00 PM,028XX N LINCOLN AVE,0810,THEFT,OVER $500,STREET,N,N,1933,32,06,1167561,1918976,41.933221534,-87.659637153,"(41.933221534, -87.659637153)"
JC111302,01/10/2019 07:28:00 AM,044XX W CONGRESS PKWY,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1131,28,18,1146958,1897324,41.874225471,-87.735906276,"(41.874225471, -87.735906276)"
JC107518,01/05/2019 07:00:00 PM,040XX W NEWPORT AVE,0810,THEFT,OVER $500,STREET,N,N,1731,30,06,1148965,1922756,41.943974816,-87.727878317,"(41.943974816, -87.727878317)"
JC110113,01/09/2019 07:55:00 AM,003XX N PINE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1523,37,06,1139437,1901810,41.886675967,-87.763410964,"(41.886675967, -87.763410964)"
JC105163,01/04/2019 11:30:00 PM,059XX W ERIE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,N,N,1511,29,14,1136801,1903697,41.891901773,-87.773045944,"(41.891901773, -87.773045944)"
JC105606,01/05/2019 11:19:00 AM,015XX N WASHTENAW AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,1423,1,08B,1158137,1910079,41.909005481,-87.694513234,"(41.909005481, -87.694513234)"
JC113661,01/10/2019 04:00:00 PM,034XX N HARDING AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,Y,1732,30,20,1149450,1922655,41.943688249,-87.726098293,"(41.943688249, -87.726098293)"
JC108948,01/08/2019 08:21:00 AM,041XX W MAYPOLE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),VEHICLE-COMMERCIAL,Y,N,1114,28,18,1148826,1901133,41.884641914,-87.728949284,"(41.884641914, -87.728949284)"
JC103922,01/04/2019 01:25:00 AM,051XX W WABANSIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,2533,37,08B,1141866,1910820,41.91135584,-87.754267599,"(41.91135584, -87.754267599)"
JC111580,01/10/2019 12:35:00 PM,106XX S LONGWOOD DR,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2212,19,14,1165114,1834080,41.70030983,-87.671034303,"(41.70030983, -87.671034303)"
JC109207,01/08/2019 11:30:00 AM,053XX S CORNELL AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,234,5,05,1188158,1870244,41.799030006,-87.585505972,"(41.799030006, -87.585505972)"
JC110998,01/08/2019 07:30:00 PM,048XX S MARSHFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,931,20,06,1166157,1872636,41.806090839,-87.666120388,"(41.806090839, -87.666120388)"
JC113522,01/11/2019 09:51:00 PM,044XX S CALIFORNIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,922,15,15,1158440,1875170,41.813205368,-87.694354578,"(41.813205368, -87.694354578)"
JC105845,01/05/2019 02:02:00 PM,025XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,N,N,1414,32,06,1155395,1916702,41.927235132,-87.704407684,"(41.927235132, -87.704407684)"
JC109741,01/08/2019 06:13:00 PM,001XX S LARAMIE AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,Y,N,1522,29,26,1141740,1899076,41.879131247,-87.755021294,"(41.879131247, -87.755021294)"
JC110620,01/04/2019 03:03:00 PM,113XX S THROOP ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2234,34,06,1169700,1829319,41.687146871,-87.654379538,"(41.687146871, -87.654379538)"
JC113883,01/01/2019 10:45:00 PM,079XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,ABANDONED BUILDING,N,N,612,21,14,,,,,
JC104052,01/04/2019 12:30:00 AM,052XX S GREENWOOD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,233,5,05,1184268,1870678,41.800312918,-87.599757726,"(41.800312918, -87.599757726)"
JC112490,01/09/2019 04:00:00 PM,016XX W 35TH ST,0810,THEFT,OVER $500,STREET,N,N,912,12,06,1165813,1881522,41.830482318,-87.667129375,"(41.830482318, -87.667129375)"
JC107393,01/06/2019 09:45:00 PM,036XX S CALIFORNIA AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,N,N,911,12,08B,1158293,1880457,41.827716548,-87.694749654,"(41.827716548, -87.694749654)"
JC106256,01/05/2019 07:32:00 PM,022XX E 97TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,Y,N,431,7,18,1192940,1840953,41.718537688,-87.568924074,"(41.718537688, -87.568924074)"
JC111497,01/08/2019 06:54:00 PM,041XX S FRANCISCO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,921,12,14,1157679,1876938,41.818072479,-87.697097962,"(41.818072479, -87.697097962)"
JC112023,01/10/2019 05:00:00 PM,093XX S WENTWORTH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,634,21,03,1176594,1843005,41.72455132,-87.628731672,"(41.72455132, -87.628731672)"
JC109028,01/08/2019 09:50:00 AM,069XX S ASHLAND AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,N,N,735,17,11,1166876,1858796,41.768096835,-87.663878589,"(41.768096835, -87.663878589)"
JC108553,01/07/2019 02:30:00 PM,011XX W ARMITAGE AVE,0810,THEFT,OVER $500,STREET,N,N,1811,43,06,1168163,1913450,41.918044897,-87.657584897,"(41.918044897, -87.657584897)"
JC109749,01/08/2019 07:25:00 PM,0000X S STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,112,42,06,1176391,1900196,41.881493402,-87.627755557,"(41.881493402, -87.627755557)"
JC113127,01/11/2019 12:50:00 PM,021XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1431,1,14,1158820,1913933,41.919567169,-87.691898319,"(41.919567169, -87.691898319)"
JC106093,01/05/2019 05:50:00 PM,002XX W 74TH ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,STREET,N,N,731,6,26,1175753,1855898,41.759950181,-87.631427022,"(41.759950181, -87.631427022)"
JC108684,01/07/2019 10:00:00 AM,007XX W FULTON MARKET,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,1214,42,06,1171429,1902090,41.886801163,-87.64591996,"(41.886801163, -87.64591996)"
JC113023,01/11/2019 10:00:00 AM,006XX S PAULINA ST,0890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",N,N,1231,27,06,1165153,1897317,41.873839312,-87.669102656,"(41.873839312, -87.669102656)"
JC111224,01/10/2019 01:27:00 AM,002XX N LA CROSSE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1532,28,08B,1144001,1901204,41.884928629,-87.746665779,"(41.884928629, -87.746665779)"
JC108929,01/08/2019 08:49:00 AM,017XX W HOWARD ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2422,49,06,1163126,1950347,42.019399237,-87.675049485,"(42.019399237, -87.675049485)"
JC110344,01/09/2019 11:42:00 AM,067XX S PERRY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,722,6,14,1176559,1860259,41.771899171,-87.628342045,"(41.771899171, -87.628342045)"
JC105768,01/05/2019 02:00:00 PM,041XX W 21ST ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,N,N,1012,24,03,1149035,1889767,41.853448229,-87.728475892,"(41.853448229, -87.728475892)"
JC109435,01/07/2019 07:00:00 PM,079XX S RICHMOND ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,835,18,26,1158089,1851901,41.749359058,-87.696274413,"(41.749359058, -87.696274413)"
JC107182,01/06/2019 02:00:00 PM,025XX W CERMAK RD,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,N,N,1034,28,06,1159861,1889317,41.851997246,-87.688752882,"(41.851997246, -87.688752882)"
JC104161,01/04/2019 09:05:00 AM,003XX W NORTH AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,OTHER,N,N,1821,27,26,1173454,1910969,41.911120869,-87.638219505,"(41.911120869, -87.638219505)"
JC108583,01/07/2019 07:21:00 PM,006XX N STATE ST,0810,THEFT,OVER $500,SIDEWALK,Y,N,1834,42,06,1176256,1904605,41.893594981,-87.628118216,"(41.893594981, -87.628118216)"
JC106856,01/06/2019 01:15:00 PM,062XX S CAMPBELL AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,825,16,08B,1160777,1863161,41.780203103,-87.686113971,"(41.780203103, -87.686113971)"
JC111936,01/08/2019 10:30:00 PM,079XX S WOOD ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,611,17,06,1165728,1852066,41.749653225,-87.668277264,"(41.749653225, -87.668277264)"
JC109004,01/07/2019 04:30:00 PM,009XX W GARFIELD BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",Y,N,712,16,18,1170772,1868221,41.793876041,-87.649323127,"(41.793876041, -87.649323127)"
JC107933,01/04/2019 05:00:00 PM,008XX N DEWITT PL,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),N,N,1833,2,14,1178396,1906479,41.898688787,-87.620201629,"(41.898688787, -87.620201629)"
JC105819,01/05/2019 02:18:00 PM,046XX W NORTH AVE,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,N,N,2533,37,06,1145011,1910225,41.909664252,-87.742728815,"(41.909664252, -87.742728815)"
JC105219,01/05/2019 12:40:00 AM,030XX W ROOSEVELT RD,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CAR WASH,N,N,1134,28,04B,1156424,1894559,41.866451967,-87.701226002,"(41.866451967, -87.701226002)"
JC105146,01/04/2019 10:02:00 PM,062XX S FRANCISCO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,Y,N,823,16,18,1158120,1863115,41.780131337,-87.695856272,"(41.780131337, -87.695856272)"
JC104864,01/04/2019 06:45:00 PM,004XX W ERIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1831,42,14,1172902,1904693,41.893911444,-87.64043357,"(41.893911444, -87.64043357)"
JC111490,01/09/2019 10:00:00 PM,007XX W 118TH PL,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,N,Y,524,34,02,1173350,1826274,41.678711187,-87.641106964,"(41.678711187, -87.641106964)"
JC112679,01/11/2019 09:30:00 AM,013XX W 90TH ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,2222,21,08B,1169092,1845086,41.730427107,-87.656151422,"(41.730427107, -87.656151422)"
JC103916,01/04/2019 01:13:00 AM,058XX W MADISON ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1513,29,08B,1137612,1899424,41.880161534,-87.770170439,"(41.880161534, -87.770170439)"
JC104298,01/04/2019 11:30:00 AM,003XX E GRAND AVE,0460,BATTERY,SIMPLE,DAY CARE CENTER,N,N,1834,42,08B,1178644,1903977,41.891817526,-87.619367222,"(41.891817526, -87.619367222)"
JC109673,01/08/2019 06:00:00 PM,078XX S OGLESBY AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,N,Y,414,7,04B,1193228,1853401,41.752689093,-87.567463537,"(41.752689093, -87.567463537)"
JC105004,01/04/2019 09:00:00 PM,001XX W DIVISION ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA BUS STOP,N,N,1821,2,08B,1174600,1908332,41.903859252,-87.634088504,"(41.903859252, -87.634088504)"
JC112267,01/10/2019 08:40:00 AM,0000X E OHIO ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,1834,42,06,1176771,1904213,41.892507682,-87.626238686,"(41.892507682, -87.626238686)"
JC107944,01/06/2019 03:00:00 PM,021XX W TOUHY AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2411,49,06,1160639,1947712,42.012220854,-87.684274879,"(42.012220854, -87.684274879)"
JC112070,01/09/2019 08:30:00 PM,071XX S JEFFERY BLVD,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,CONVENIENCE STORE,N,N,333,5,08B,1190777,1858141,41.765755571,-87.576292427,"(41.765755571, -87.576292427)"
JC106758,01/06/2019 11:20:00 AM,028XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1135,28,08B,1157507,1896906,41.872870422,-87.697186337,"(41.872870422, -87.697186337)"
JC112771,01/10/2019 11:00:00 AM,013XX N HUDSON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1821,27,06,1173068,1909520,41.907153315,-87.639680572,"(41.907153315, -87.639680572)"
JC105754,01/05/2019 01:20:00 PM,004XX W ONTARIO ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1831,42,06,1173158,1904405,41.893115479,-87.639501928,"(41.893115479, -87.639501928)"
JC107231,01/06/2019 06:59:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,111,42,06,1176338,1901346,41.884650262,-87.627915459,"(41.884650262, -87.627915459)"
JC105624,01/05/2019 08:30:00 AM,043XX S CALIFORNIA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,922,15,11,1158419,1875857,41.815091011,-87.694412872,"(41.815091011, -87.694412872)"
JC105043,01/04/2019 09:10:00 PM,027XX N MENARD AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,2514,30,03,1137249,1917586,41.930006798,-87.771066231,"(41.930006798, -87.771066231)"
JC111419,01/10/2019 09:30:00 AM,0000X E 102ND PL,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,Y,Y,511,9,04A,1178608,1837028,41.70810417,-87.621535461,"(41.70810417, -87.621535461)"
JC107151,01/06/2019 05:45:00 PM,023XX W RICE ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,N,N,1212,1,03,1160724,1905611,41.896691673,-87.685133806,"(41.896691673, -87.685133806)"
JC112659,01/10/2019 06:00:00 PM,049XX W ALTGELD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2521,31,14,1142942,1916181,41.926046985,-87.750180756,"(41.926046985, -87.750180756)"
JC108108,01/07/2019 11:00:00 AM,061XX S WOLCOTT AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",N,N,714,15,06,1164741,1863948,41.782279941,-87.671559063,"(41.782279941, -87.671559063)"
JC106756,01/05/2019 06:00:00 AM,002XX E CHICAGO AVE,0810,THEFT,OVER $500,SIDEWALK,N,N,1833,2,06,1178058,1905778,41.896772914,-87.621464432,"(41.896772914, -87.621464432)"
JC108386,01/07/2019 05:45:00 PM,028XX W ROOSEVELT RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1022,24,08B,1157671,1894587,41.866503515,-87.696647364,"(41.866503515, -87.696647364)"
JC109848,01/08/2019 08:05:00 PM,056XX S MAY ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,712,16,05,1169616,1867319,41.791426012,-87.653588254,"(41.791426012, -87.653588254)"
JC108955,01/08/2019 09:10:00 AM,004XX E 80TH ST,0560,ASSAULT,SIMPLE,STREET,N,Y,631,6,08A,1180738,1852065,41.749318943,-87.6132747,"(41.749318943, -87.6132747)"
JC103932,01/04/2019 12:59:00 AM,083XX S ESSEX AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,Y,N,423,7,18,1194287,1850258,41.744038513,-87.563685838,"(41.744038513, -87.563685838)"
JC113512,01/11/2019 09:30:00 PM,015XX E 67TH PL,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,N,Y,332,5,04A,1187528,1860537,41.772408254,-87.588124821,"(41.772408254, -87.588124821)"
JC108794,01/08/2019 05:12:00 AM,046XX W MONROE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1113,28,14,1145352,1899158,41.879288711,-87.741756429,"(41.879288711, -87.741756429)"
JC109166,01/08/2019 11:30:00 AM,002XX N MASON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,1512,29,26,1136728,1901099,41.88477383,-87.773376308,"(41.88477383, -87.773376308)"
JC112102,01/10/2019 06:10:00 PM,0000X E OHIO ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESTAURANT,N,N,1834,42,11,1176800,1904214,41.89250977,-87.626132152,"(41.89250977, -87.626132152)"
JC106560,01/06/2019 03:30:00 AM,032XX W CONGRESS PKWY,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,SIDEWALK,N,Y,1134,28,04B,1154941,1897621,41.874884255,-87.706588192,"(41.874884255, -87.706588192)"
JC110565,01/09/2019 01:33:00 PM,067XX S PULASKI RD,0860,THEFT,RETAIL THEFT,GAS STATION,Y,N,833,13,06,1150857,1859788,41.771146186,-87.722570475,"(41.771146186, -87.722570475)"
JC110737,01/09/2019 03:00:00 PM,008XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,N,N,1833,42,06,1177311,1905834,41.896943556,-87.624206307,"(41.896943556, -87.624206307)"
JC106799,01/06/2019 11:45:00 AM,044XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1913,46,06,1168492,1929815,41.96294407,-87.655900988,"(41.96294407, -87.655900988)"
JC106513,01/06/2019 02:30:00 AM,038XX W CHICAGO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1112,27,08B,1150674,1905068,41.895404051,-87.722060175,"(41.895404051, -87.722060175)"
JC112460,01/11/2019 04:20:00 AM,066XX S OAKLEY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,832,16,26,1162214,1860660,41.773310215,-87.680915238,"(41.773310215, -87.680915238)"
JC109875,01/05/2019 08:00:00 PM,042XX W ALTGELD ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,2524,31,08A,1147488,1916279,41.926229853,-87.733473719,"(41.926229853, -87.733473719)"
JC113513,01/11/2019 09:16:00 PM,071XX S ASHLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARKING LOT/GARAGE(NON.RESID.),Y,N,735,17,15,1166911,1857552,41.764682386,-87.663785792,"(41.764682386, -87.663785792)"
JC105383,01/05/2019 07:30:00 AM,040XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1132,28,14,1149510,1898380,41.87707413,-87.726508999,"(41.87707413, -87.726508999)"
JC112366,01/10/2019 04:00:00 PM,061XX N CLAREMONT AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2413,40,06,1159538,1940722,41.9930629,-87.688519677,"(41.9930629, -87.688519677)"
