CASE#,DATE  OF O,BLOCK,IUCR,PRIMARY DE,SECONDARY,LOCATION D,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINA,Y COORDINA,LATITUDE,LONGITUDE,LOCATION
JC146497,02/09/2019 06:45:00 PM,011XX S SPRINGFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,1132,24,15,1150560,1894608,41.866702897000003,-87.722752193000005,"(41.866702897, -87.722752193)"
JC147130,02/09/2019 07:00:00 PM,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,42,14,1170974,1902779,41.888701814000001,-87.647570607999995,"(41.888701814, -87.647570608)"
JC146454,02/09/2019 07:00:00 PM,017XX W TAYLOR ST,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,HOSPITAL BUILDING/GROUNDS,N,N,1231,27,14,1164741,1895623,41.869199569000003,-87.670663333999997,"(41.869199569, -87.670663334)"
JC147177,02/09/2019 07:00:00 PM,001XX N WESTERN AVE,0460,BATTERY,SIMPLE,OTHER,N,N,1222,27,08B,1160383,1901019,41.884097894999996,-87.686513378000001,"(41.884097895, -87.686513378)"
JC147131,02/09/2019 07:00:00 PM,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,42,14,1170974,1902779,41.888701814000001,-87.647570607999995,"(41.888701814, -87.647570608)"
JC146461,02/09/2019 07:00:00 PM,0000X E GRAND AVE,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1834,42,06,1176796,1903917,41.891694878000003,-87.626155831999995,"(41.891694878, -87.626155832)"
JC146475,02/09/2019 07:03:00 PM,014XX S HAMLIN AVE,2027,NARCOTICS,POSS: CRACK,STREET,Y,N,1011,24,18,1151281,1892695,41.861439300000001,-87.720155461000004,"(41.8614393, -87.720155461)"
JC146504,02/09/2019 07:19:00 PM,042XX W WASHINGTON BLVD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1114,28,18,1148171,1900157,41.881976293999998,-87.731379697999998,"(41.881976294, -87.731379698)"
JC146505,02/09/2019 07:21:00 PM,040XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1115,28,18,1149392,1899705,41.880712367000001,-87.726907889000003,"(41.880712367, -87.726907889)"
JC146483,02/09/2019 07:25:00 PM,007XX N RIDGEWAY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1112,27,18,1151252,1904776,41.894591452999997,-87.719944972999997,"(41.894591453, -87.719944973)"
JC146481,02/09/2019 07:28:00 PM,044XX W FIFTH AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1131,24,16,1147094,1895862,41.870210968999999,-87.735444330000007,"(41.870210969, -87.73544433)"
JC152830,02/09/2019 07:30:00 PM,016XX S RACINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1235,25,14,1168634,1892116,41.859492717999998,-87.656472706000002,"(41.859492718, -87.656472706)"
JC151929,02/09/2019 07:30:00 PM,002XX N SACRAMENTO BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1222,27,08B,1156350,1901312,41.884984373999998,-87.701315113999996,"(41.884984374, -87.701315114)"
JC146527,02/09/2019 07:30:00 PM,006XX N MICHIGAN AVE,0880,THEFT,PURSE-SNATCHING,DEPARTMENT STORE,N,N,1834,42,06,1177327,1904307,41.892753030999998,-87.624193895999994,"(41.892753031, -87.624193896)"
JC146717,02/09/2019 07:30:00 PM,001XX N WESTERN AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,JAIL / LOCK-UP FACILITY,N,N,1222,27,08B,1160383,1901019,41.884097894999996,-87.686513378000001,"(41.884097895, -87.686513378)"
JC146728,02/09/2019 07:30:00 PM,002XX N CLARK ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,122,42,06,1175495,1902004,41.886474825000001,-87.630991264000002,"(41.886474825, -87.630991264)"
JC146967,02/09/2019 07:30:00 PM,002XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,1214,27,14,1171005,1901824,41.886080550999999,-87.647484796000001,"(41.886080551, -87.647484796)"
JC146517,02/09/2019 07:34:00 PM,035XX W ROOSEVELT RD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,1021,24,18,1152941,1894481,41.866307591000002,-87.714014577000000,"(41.866307591, -87.714014577)"
JC146541,02/09/2019 07:38:00 PM,038XX W 19TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,Y,N,1014,24,15,1150951,1890357,41.855030010000000,-87.721428003000000,"(41.85503001, -87.721428003)"
JC146548,02/09/2019 07:40:00 PM,002XX E CERMAK RD,0460,BATTERY,SIMPLE,OTHER,Y,N,132,3,08B,1178080,1889786,41.852889466000001,-87.621870493000003,"(41.852889466, -87.621870493)"
JC146555,02/09/2019 07:42:00 PM,014XX S MILLARD AVE,2026,NARCOTICS,POSS: PCP,STREET,Y,N,1011,24,18,1152275,1892788,41.861674964000002,-87.716504194999999,"(41.861674964, -87.716504195)"
JC147176,02/09/2019 07:45:00 PM,001XX W WACKER DR,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,122,42,06,1175349,1902127,41.886815622000000,-87.631523712000003,"(41.886815622, -87.631523712)"
JC146528,02/09/2019 07:55:00 PM,019XX S TRUMBULL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,Y,N,1024,24,18,1153729,1890276,41.854752959000002,-87.711233594000007,"(41.854752959, -87.711233594)"
JC146692,02/09/2019 07:56:00 PM,039XX W ARTHINGTON ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,Y,N,1132,24,18,1150262,1895745,41.869828767999998,-87.723816556000003,"(41.869828768, -87.723816556)"
JC146582,02/09/2019 08:00:00 PM,021XX S HARDING AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,Y,N,1014,24,11,1150389,1889342,41.852255696999997,-87.723517267999995,"(41.852255697, -87.723517268)"
JC146624,02/09/2019 08:00:00 PM,013XX W RANDOLPH ST,0810,THEFT,OVER $500,STREET,N,N,1224,27,06,1167605,1901069,41.884082665000001,-87.659992043000003,"(41.884082665, -87.659992043)"
JC146565,02/09/2019 08:20:00 PM,020XX W 22ND PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1034,25,08B,1163023,1889068,41.851248247000001,-87.677154467999998,"(41.851248247, -87.677154468)"
JC149414,02/09/2019 08:30:00 PM,003XX N LA SALLE DR,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1831,42,06,1175078,1902532,41.887933042000000,-87.632506738999993,"(41.887933042, -87.632506739)"
JC146989,02/09/2019 08:30:00 PM,015XX S MILLARD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,Y,1014,24,06,1152295,1892115,41.859827780000003,-87.716448529000004,"(41.85982778, -87.716448529)"
JC148587,02/09/2019 08:34:00 PM,0000X S HOMAN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1124,28,26,1153727,1899655,41.880490002999998,-87.710991364999998,"(41.880490003, -87.710991365)"
JC146583,02/09/2019 08:40:00 PM,027XX W WARREN BLVD,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,1222,27,08A,1158027,1900238,41.882003159999996,-87.695186211000006,"(41.88200316, -87.695186211)"
JC146698,02/09/2019 08:45:00 PM,009XX W FULTON MARKET,0820,THEFT,$500 AND UNDER,STREET,N,N,1214,27,06,1169918,1902059,41.886749178000002,-87.651469620000000,"(41.886749178, -87.65146962)"
JC146586,02/09/2019 08:50:00 PM,005XX N LA SALLE DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,N,N,1831,42,11,1175053,1903651,41.891004201000001,-87.632564986999995,"(41.891004201, -87.632564987)"
JC148714,02/09/2019 09:00:00 PM,004XX N CLARK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,N,N,1831,42,11,1175463,1903198,41.889751945999997,-87.631072891000002,"(41.889751946, -87.631072891)"
JC147531,02/09/2019 09:00:00 PM,001XX W Wacker Dr,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,N,N,122,42,14,1175349,1902127,41.886815622000000,-87.631523712000003,"(41.886815622, -87.631523712)"
JC147438,02/09/2019 09:00:00 PM,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,42,14,1170974,1902779,41.888701814000001,-87.647570607999995,"(41.888701814, -87.647570608)"
JC146626,02/09/2019 09:02:00 PM,0000X N WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,1223,27,26,1160400,1900403,41.882407184000002,-87.686468001999998,"(41.882407184, -87.686468002)"
JC146632,02/09/2019 09:15:00 PM,027XX W 21ST ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,Y,N,1023,12,18,1158216,1889939,41.853737807000002,-87.694773517000002,"(41.853737807, -87.694773517)"
JC148371,02/09/2019 09:27:00 PM,023XX W TAYLOR ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,1225,28,26,1161005,1895522,41.869000737999997,-87.684381947000006,"(41.869000738, -87.684381947)"
JC146633,02/09/2019 09:30:00 PM,002XX N DEARBORN ST,0560,ASSAULT,SIMPLE,CONVENIENCE STORE,N,N,111,42,08A,1175901,1901839,41.886012928000000,-87.629505318000000,"(41.886012928, -87.629505318)"
JC147030,02/09/2019 10:00:00 PM,012XX S FAIRFIELD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,1023,28,11,1158230,1894148,41.865287459000001,-87.694607203999993,"(41.865287459, -87.694607204)"
JC146784,02/09/2019 10:30:00 PM,008XX S STATE ST,0890,THEFT,FROM BUILDING,OTHER,N,N,123,4,06,1176487,1896508,41.871371146999998,-87.627514417000000,"(41.871371147, -87.627514417)"
JC147205,02/09/2019 10:30:00 PM,001XX W ADAMS ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,N,N,122,42,06,1175421,1899429,41.879410536999998,-87.631340358000003,"(41.879410537, -87.631340358)"
JC146785,02/09/2019 10:30:00 PM,008XX S STATE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,123,4,07,1176487,1896508,41.871371146999998,-87.627514417000000,"(41.871371147, -87.627514417)"
JC146661,02/09/2019 10:30:00 PM,041XX W WEST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1114,28,08B,1148771,1900652,41.883323060000002,-87.729163689000004,"(41.88332306, -87.729163689)"
JC146846,02/09/2019 10:30:00 PM,008XX S WABASH AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,123,4,06,1176924,1896331,41.870875576000003,-87.625915398000004,"(41.870875576, -87.625915398)"
JC146680,02/09/2019 10:35:00 PM,018XX S ALLPORT ST,0460,BATTERY,SIMPLE,APARTMENT,Y,N,1233,25,08B,1168328,1891191,41.856961054000003,-87.657622657000005,"(41.856961054, -87.657622657)"
JC146669,02/09/2019 10:36:00 PM,015XX S SPAULDING AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE PORCH/HALLWAY,Y,N,1021,24,15,1154613,1892339,41.860396442999999,-87.707933763000000,"(41.860396443, -87.707933763)"
JC146668,02/09/2019 10:45:00 PM,0000X W ONTARIO ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1832,42,14,1176150,1904484,41.893265341000003,-87.628511162999999,"(41.893265341, -87.628511163)"
JC146676,02/09/2019 10:45:00 PM,033XX W WARREN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,1123,28,08B,1154089,1900147,41.881832891000002,-87.709648999999999,"(41.881832891, -87.709649)"
JC146711,02/09/2019 10:59:00 PM,039XX W ROOSEVELT RD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,GAS STATION,Y,N,1132,24,15,1150084,1894415,41.866182559000002,-87.724504682000003,"(41.866182559, -87.724504682)"
JC146690,02/09/2019 11:05:00 PM,006XX N RIDGEWAY AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,1122,27,04B,1151272,1904044,41.892582378000000,-87.719890739999997,"(41.892582378, -87.71989074)"
JC146735,02/09/2019 11:15:00 PM,001XX N STATE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,Y,N,111,42,18,1176336,1901435,41.884894527999997,-87.627920115999999,"(41.884894528, -87.627920116)"
JC147119,02/09/2019 11:30:00 PM,006XX N FRANKLIN ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1831,42,06,1174211,1904618,41.893676530999997,-87.635628327999996,"(41.893676531, -87.635628328)"
JC147565,02/09/2019 11:45:00 PM,005XX N WELLS ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1174647,1903665,41.891051707000003,-87.634055590000003,"(41.891051707, -87.63405559)"
JC148557,02/09/2019 11:51:00 PM,006XX W WAYMAN ST,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,1214,42,06,1171576,1902339,41.887481203000000,-87.645372811000001,"(41.887481203, -87.645372811)"
JC149409,02/09/2019 11:55:00 PM,006XX N Franklin St,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1174211,1904618,41.893676530999997,-87.635628327999996,"(41.893676531, -87.635628328)"
JC147241,02/10/2019 12:00:00 AM,001XX W HUBBARD ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1175301,1903292,41.890013523999997,-87.631664995999998,"(41.890013524, -87.631664996)"
JC146738,02/10/2019 12:00:00 AM,001XX W HUBBARD ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1831,42,06,1175301,1903292,41.890013523999997,-87.631664995999998,"(41.890013524, -87.631664996)"
JC147044,02/10/2019 12:00:00 AM,004XX N CLARK ST,0890,THEFT,FROM BUILDING,OTHER,N,N,1831,42,06,1175457,1903385,41.890265219000000,-87.631089305000003,"(41.890265219, -87.631089305)"
JC147435,02/10/2019 12:01:00 AM,003XX W HUBBARD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,N,N,1831,42,11,1173659,1903250,41.889934959999998,-87.637696348999995,"(41.88993496, -87.637696349)"
